2019-07-06 00:10:03.760  INFO [ms1,,,] 851 --- [main] org.ms1.msApp1                           : The following profiles are active: dev
2019-07-06 00:10:04.935  INFO [ms1,,,] 851 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=cfde3699-91b6-31df-af8f-ecdb91be3e36
2019-07-06 00:10:04.956  INFO [ms1,,,] 851 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.ms1.msApp1$Ms2' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-06 00:10:05.319  INFO [ms1,,,] 851 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$1cb3303c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-06 00:10:05.731  INFO [ms1,,,] 851 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8005 (http)
2019-07-06 00:10:05.757  INFO [ms1,,,] 851 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-07-06 00:10:05.757  INFO [ms1,,,] 851 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.17]
2019-07-06 00:10:06.001  INFO [ms1,,,] 851 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-07-06 00:10:06.001  INFO [ms1,,,] 851 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 2214 ms
2019-07-06 00:10:06.155  WARN [ms1,,,] 851 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-07-06 00:10:06.155  INFO [ms1,,,] 851 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-07-06 00:10:06.168  INFO [ms1,,,] 851 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@554c4eaa
2019-07-06 00:10:06.883  INFO [ms1,,,] 851 --- [main] o.s.b.a.e.web.ServletEndpointRegistrar   : Registered '/actuator/jolokia' to jolokia-actuator-endpoint
2019-07-06 00:10:07.240  WARN [ms1,,,] 851 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-07-06 00:10:07.241  INFO [ms1,,,] 851 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-07-06 00:10:07.495  INFO [ms1,,,] 851 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-07-06 00:10:08.105  INFO [ms1,,,] 851 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 21 endpoint(s) beneath base path '/actuator'
2019-07-06 00:10:08.232  INFO [ms1,,,] 851 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8005 (http) with context path ''
2019-07-06 00:10:08.235  INFO [ms1,,,] 851 --- [main] org.ms1.msApp1                           : Started msApp1 in 6.29 seconds (JVM running for 7.304)
2019-07-06 00:10:08.582  INFO [ms1,,,] 851 --- [RMI TCP Connection(5)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-07-06 00:10:08.583  INFO [ms1,,,] 851 --- [RMI TCP Connection(5)-127.0.0.1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2019-07-06 00:10:08.612  INFO [ms1,,,] 851 --- [RMI TCP Connection(5)-127.0.0.1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 29 ms
2019-07-06 00:10:20.427  INFO [ms1,,,] 851 --- [Thread-17] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-07-06 00:14:18.969  INFO [ms1,,,] 1005 --- [main] org.ms1.msApp1                           : The following profiles are active: dev
2019-07-06 00:14:20.104  INFO [ms1,,,] 1005 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=cfde3699-91b6-31df-af8f-ecdb91be3e36
2019-07-06 00:14:20.121  INFO [ms1,,,] 1005 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.ms1.msApp1$Ms2' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-06 00:14:20.431  INFO [ms1,,,] 1005 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$5e6de61b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-06 00:14:20.834  INFO [ms1,,,] 1005 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8005 (http)
2019-07-06 00:14:20.862  INFO [ms1,,,] 1005 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-07-06 00:14:20.863  INFO [ms1,,,] 1005 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.17]
2019-07-06 00:14:21.122  INFO [ms1,,,] 1005 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-07-06 00:14:21.126  INFO [ms1,,,] 1005 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 2120 ms
2019-07-06 00:14:21.256  WARN [ms1,,,] 1005 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-07-06 00:14:21.257  INFO [ms1,,,] 1005 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-07-06 00:14:21.273  INFO [ms1,,,] 1005 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@61bcbcce
2019-07-06 00:14:21.820  INFO [ms1,,,] 1005 --- [main] o.s.b.a.e.web.ServletEndpointRegistrar   : Registered '/actuator/jolokia' to jolokia-actuator-endpoint
2019-07-06 00:14:22.148  WARN [ms1,,,] 1005 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-07-06 00:14:22.148  INFO [ms1,,,] 1005 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-07-06 00:14:22.338  INFO [ms1,,,] 1005 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-07-06 00:14:22.923  INFO [ms1,,,] 1005 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 21 endpoint(s) beneath base path '/actuator'
2019-07-06 00:14:23.084  INFO [ms1,,,] 1005 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8005 (http) with context path ''
2019-07-06 00:14:23.087  INFO [ms1,,,] 1005 --- [main] org.ms1.msApp1                           : Started msApp1 in 5.76 seconds (JVM running for 6.589)
2019-07-06 00:14:23.527  INFO [ms1,,,] 1005 --- [RMI TCP Connection(2)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-07-06 00:14:23.528  INFO [ms1,,,] 1005 --- [RMI TCP Connection(2)-127.0.0.1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2019-07-06 00:14:23.552  INFO [ms1,,,] 1005 --- [RMI TCP Connection(2)-127.0.0.1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 23 ms
2019-07-06 00:22:43.453  INFO [ms1,,,] 1005 --- [Thread-17] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-07-06 00:22:48.061  INFO [ms1,,,] 1135 --- [main] org.ms1.msApp1                           : The following profiles are active: dev
2019-07-06 00:22:48.992  INFO [ms1,,,] 1135 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=cfde3699-91b6-31df-af8f-ecdb91be3e36
2019-07-06 00:22:49.008  INFO [ms1,,,] 1135 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.ms1.msApp1$Ms2' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-06 00:22:49.179  INFO [ms1,,,] 1135 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$5b2ad2d1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-06 00:22:49.538  INFO [ms1,,,] 1135 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8005 (http)
2019-07-06 00:22:49.564  INFO [ms1,,,] 1135 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-07-06 00:22:49.564  INFO [ms1,,,] 1135 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.17]
2019-07-06 00:22:49.815  INFO [ms1,,,] 1135 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-07-06 00:22:49.816  INFO [ms1,,,] 1135 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1737 ms
2019-07-06 00:22:49.943  WARN [ms1,,,] 1135 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-07-06 00:22:49.943  INFO [ms1,,,] 1135 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-07-06 00:22:49.949  INFO [ms1,,,] 1135 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@338b49d3
2019-07-06 00:22:50.469  INFO [ms1,,,] 1135 --- [main] o.s.b.a.e.web.ServletEndpointRegistrar   : Registered '/actuator/jolokia' to jolokia-actuator-endpoint
2019-07-06 00:22:50.724  WARN [ms1,,,] 1135 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-07-06 00:22:50.724  INFO [ms1,,,] 1135 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-07-06 00:22:50.917  INFO [ms1,,,] 1135 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
